CSP,Service,Category,subcategory,description,impact level,popularity
aws,Amazon Elastic Kubernetes Service,Compute,Containers,Managed Kubernetes — control plane and data plane,IL2|IL4|IL5,980
aws,Amazon ECS,Compute,Containers,Elastic Container Service,IL2|IL4,920
aws,AWS Fargate,Compute,Containers,Serverless containers,IL2|IL4|IL5,910
aws,Amazon ECR,Compute,Containers,Container registry,IL2|IL4,860
aws,AWS App Runner,Compute,Containers,Fully managed app service,IL2|IL4,840
azure,Azure Kubernetes Service,Compute,Containers,Managed Kubernetes on Azure,IL2|IL3|IL4,970
azure,Azure Container Instances,Compute,Containers,Burst containers without managing servers,IL2|IL4,880
gcp,Google Kubernetes Engine,Compute,Containers,Managed Kubernetes on GCP,IL2|IL4,960
gcp,Cloud Run,Compute,Containers,Serverless for containers,IL2|IL4,900
oracle,Oracle Kubernetes Engine,Compute,Containers,OCI-managed Kubernetes,IL2|IL4,850
aws,Amazon S3,Storage,Object storage,Regional durable object storage,IL2|IL4,995
azure,Azure Blob Storage,Storage,Object storage,Hot/cool/archive tiers,IL2|IL4,990
gcp,Cloud Storage,Storage,Object storage,Multi-region and dual-region,IL2|IL4,985
oracle,OCI Object Storage,Storage,Object storage,OCI object store,IL2|IL4,870
