Catalog_Item_Number__c,Title__c,CSO_Short_Name__c,Description__c,List_Unit_Price__c,Pricing_Unit__c,JWCC_Unit_Price__c,JWCC_Unit_Of_Issue__c,Discount_Premium_Fee__c
DEMO-P-202601-00001,Mock AWS catalog line 1 - compute and storage blend,CSO-SVC-02,Demo description for pricing row 1; safe for POC uploads.,10.06,GB-Mo,8.8528,GB-Mo,Standard
DEMO-P-202601-00002,Mock AWS catalog line 2 - compute and storage blend,CSO-SVC-03,Demo description for pricing row 2; safe for POC uploads.,10.13,Each,8.9144,Each,Standard
DEMO-P-202601-00003,Mock AWS catalog line 3 - compute and storage blend,CSO-SVC-04,Demo description for pricing row 3; safe for POC uploads.,10.2,GB-Mo,8.976,GB-Mo,Standard
DEMO-P-202601-00004,Mock AWS catalog line 4 - compute and storage blend,CSO-SVC-05,Demo description for pricing row 4; safe for POC uploads.,10.27,Each,9.0376,Each,Standard
DEMO-P-202601-00005,Mock AWS catalog line 5 - compute and storage blend,CSO-SVC-06,Demo description for pricing row 5; safe for POC uploads.,10.34,GB-Mo,9.0992,GB-Mo,
DEMO-P-202601-00006,Mock AWS catalog line 6 - compute and storage blend,CSO-SVC-07,Demo description for pricing row 6; safe for POC uploads.,10.41,Each,9.1608,Each,Standard
DEMO-P-202601-00007,Mock AWS catalog line 7 - compute and storage blend,CSO-SVC-08,Demo description for pricing row 7; safe for POC uploads.,10.48,GB-Mo,9.2224,GB-Mo,Standard
DEMO-P-202601-00008,Mock AWS catalog line 8 - compute and storage blend,CSO-SVC-09,Demo description for pricing row 8; safe for POC uploads.,10.55,Each,9.284,Each,Standard
DEMO-P-202601-00009,Mock AWS catalog line 9 - compute and storage blend,CSO-SVC-10,Demo description for pricing row 9; safe for POC uploads.,10.62,GB-Mo,9.3456,GB-Mo,Standard
DEMO-P-202601-00010,Mock AWS catalog line 10 - compute and storage blend,CSO-SVC-11,Demo description for pricing row 10; safe for POC uploads.,10.69,Each,9.4072,Each,
DEMO-P-202601-00011,Mock AWS catalog line 11 - compute and storage blend,CSO-SVC-12,Demo description for pricing row 11; safe for POC uploads.,10.76,GB-Mo,9.4688,GB-Mo,Standard
DEMO-P-202601-00012,Mock AWS catalog line 12 - compute and storage blend,CSO-SVC-13,Demo description for pricing row 12; safe for POC uploads.,10.83,Each,9.5304,Each,Standard
DEMO-P-202601-00013,Mock AWS catalog line 13 - compute and storage blend,CSO-SVC-14,Demo description for pricing row 13; safe for POC uploads.,10.9,GB-Mo,9.592,GB-Mo,Standard
DEMO-P-202601-00014,Mock AWS catalog line 14 - compute and storage blend,CSO-SVC-15,Demo description for pricing row 14; safe for POC uploads.,10.97,Each,9.6536,Each,Standard
DEMO-P-202601-00015,Mock AWS catalog line 15 - compute and storage blend,CSO-SVC-16,Demo description for pricing row 15; safe for POC uploads.,11.04,GB-Mo,9.7152,GB-Mo,
DEMO-P-202601-00016,Mock AWS catalog line 16 - compute and storage blend,CSO-SVC-17,Demo description for pricing row 16; safe for POC uploads.,11.11,Each,9.7768,Each,Standard
DEMO-P-202601-00017,Mock AWS catalog line 17 - compute and storage blend,CSO-SVC-18,Demo description for pricing row 17; safe for POC uploads.,11.18,GB-Mo,9.8384,GB-Mo,Standard
DEMO-P-202601-00018,Mock AWS catalog line 18 - compute and storage blend,CSO-SVC-19,Demo description for pricing row 18; safe for POC uploads.,11.25,Each,9.9,Each,Standard
DEMO-P-202601-00019,Mock AWS catalog line 19 - compute and storage blend,CSO-SVC-20,Demo description for pricing row 19; safe for POC uploads.,11.32,GB-Mo,9.9616,GB-Mo,Standard
DEMO-P-202601-00020,Mock AWS catalog line 20 - compute and storage blend,CSO-SVC-21,Demo description for pricing row 20; safe for POC uploads.,11.39,Each,10.0232,Each,
DEMO-P-202601-00021,Mock AWS catalog line 21 - compute and storage blend,CSO-SVC-22,Demo description for pricing row 21; safe for POC uploads.,11.46,GB-Mo,10.0848,GB-Mo,Standard
DEMO-P-202601-00022,Mock AWS catalog line 22 - compute and storage blend,CSO-SVC-23,Demo description for pricing row 22; safe for POC uploads.,11.53,Each,10.1464,Each,Standard
DEMO-P-202601-00023,Mock AWS catalog line 23 - compute and storage blend,CSO-SVC-24,Demo description for pricing row 23; safe for POC uploads.,11.6,GB-Mo,10.208,GB-Mo,Standard
DEMO-P-202601-00024,Mock AWS catalog line 24 - compute and storage blend,CSO-SVC-25,Demo description for pricing row 24; safe for POC uploads.,11.67,Each,10.2696,Each,Standard
DEMO-P-202601-00025,Mock AWS catalog line 25 - compute and storage blend,CSO-SVC-26,Demo description for pricing row 25; safe for POC uploads.,11.74,GB-Mo,10.3312,GB-Mo,
DEMO-P-202601-00026,Mock AWS catalog line 26 - compute and storage blend,CSO-SVC-27,Demo description for pricing row 26; safe for POC uploads.,11.81,Each,10.3928,Each,Standard
DEMO-P-202601-00027,Mock AWS catalog line 27 - compute and storage blend,CSO-SVC-28,Demo description for pricing row 27; safe for POC uploads.,11.88,GB-Mo,10.4544,GB-Mo,Standard
DEMO-P-202601-00028,Mock AWS catalog line 28 - compute and storage blend,CSO-SVC-29,Demo description for pricing row 28; safe for POC uploads.,11.95,Each,10.516,Each,Standard
DEMO-P-202601-00029,Mock AWS catalog line 29 - compute and storage blend,CSO-SVC-30,Demo description for pricing row 29; safe for POC uploads.,12.02,GB-Mo,10.5776,GB-Mo,Standard
DEMO-P-202601-00030,Mock AWS catalog line 30 - compute and storage blend,CSO-SVC-31,Demo description for pricing row 30; safe for POC uploads.,12.09,Each,10.6392,Each,
DEMO-P-202601-00031,Mock AWS catalog line 31 - compute and storage blend,CSO-SVC-32,Demo description for pricing row 31; safe for POC uploads.,12.16,GB-Mo,10.7008,GB-Mo,Standard
DEMO-P-202601-00032,Mock AWS catalog line 32 - compute and storage blend,CSO-SVC-33,Demo description for pricing row 32; safe for POC uploads.,12.23,Each,10.7624,Each,Standard
DEMO-P-202601-00033,Mock AWS catalog line 33 - compute and storage blend,CSO-SVC-34,Demo description for pricing row 33; safe for POC uploads.,12.3,GB-Mo,10.824,GB-Mo,Standard
DEMO-P-202601-00034,Mock AWS catalog line 34 - compute and storage blend,CSO-SVC-35,Demo description for pricing row 34; safe for POC uploads.,12.37,Each,10.8856,Each,Standard
DEMO-P-202601-00035,Mock AWS catalog line 35 - compute and storage blend,CSO-SVC-36,Demo description for pricing row 35; safe for POC uploads.,12.44,GB-Mo,10.9472,GB-Mo,
DEMO-P-202601-00036,Mock AWS catalog line 36 - compute and storage blend,CSO-SVC-37,Demo description for pricing row 36; safe for POC uploads.,12.51,Each,11.0088,Each,Standard
DEMO-P-202601-00037,Mock AWS catalog line 37 - compute and storage blend,CSO-SVC-38,Demo description for pricing row 37; safe for POC uploads.,12.58,GB-Mo,11.0704,GB-Mo,Standard
DEMO-P-202601-00038,Mock AWS catalog line 38 - compute and storage blend,CSO-SVC-39,Demo description for pricing row 38; safe for POC uploads.,12.65,Each,11.132,Each,Standard
DEMO-P-202601-00039,Mock AWS catalog line 39 - compute and storage blend,CSO-SVC-40,Demo description for pricing row 39; safe for POC uploads.,12.72,GB-Mo,11.1936,GB-Mo,Standard
DEMO-P-202601-00040,Mock AWS catalog line 40 - compute and storage blend,CSO-SVC-01,Demo description for pricing row 40; safe for POC uploads.,12.79,Each,11.2552,Each,
DEMO-P-202601-00041,Mock AWS catalog line 41 - compute and storage blend,CSO-SVC-02,Demo description for pricing row 41; safe for POC uploads.,12.86,GB-Mo,11.3168,GB-Mo,Standard
DEMO-P-202601-00042,Mock AWS catalog line 42 - compute and storage blend,CSO-SVC-03,Demo description for pricing row 42; safe for POC uploads.,12.93,Each,11.3784,Each,Standard
DEMO-P-202601-00043,Mock AWS catalog line 43 - compute and storage blend,CSO-SVC-04,Demo description for pricing row 43; safe for POC uploads.,13,GB-Mo,11.44,GB-Mo,Standard
DEMO-P-202601-00044,Mock AWS catalog line 44 - compute and storage blend,CSO-SVC-05,Demo description for pricing row 44; safe for POC uploads.,13.07,Each,11.5016,Each,Standard
DEMO-P-202601-00045,Mock AWS catalog line 45 - compute and storage blend,CSO-SVC-06,Demo description for pricing row 45; safe for POC uploads.,13.14,GB-Mo,11.5632,GB-Mo,
DEMO-P-202601-00046,Mock AWS catalog line 46 - compute and storage blend,CSO-SVC-07,Demo description for pricing row 46; safe for POC uploads.,13.21,Each,11.6248,Each,Standard
DEMO-P-202601-00047,Mock AWS catalog line 47 - compute and storage blend,CSO-SVC-08,Demo description for pricing row 47; safe for POC uploads.,13.28,GB-Mo,11.6864,GB-Mo,Standard
DEMO-P-202601-00048,Mock AWS catalog line 48 - compute and storage blend,CSO-SVC-09,Demo description for pricing row 48; safe for POC uploads.,13.35,Each,11.748,Each,Standard
DEMO-P-202601-00049,Mock AWS catalog line 49 - compute and storage blend,CSO-SVC-10,Demo description for pricing row 49; safe for POC uploads.,13.42,GB-Mo,11.8096,GB-Mo,Standard
